Music Genre,OPE,CON,EXT,AGR,NEU
blues,4.08,3.48,3.55,3.57,2.71
classical,4.1,3.5,3.39,3.54,2.77
country,3.79,3.55,3.64,3.65,2.78
dance,3.79,3.5,3.66,3.6,2.79
hip hop,3.82,3.49,3.75,3.52,2.66
indie,4.06,3.26,3.51,3.49,2.98
jazz,4.03,3.55,3.61,3.6,2.64
metal,3.97,3.3,3.37,3.34,2.87
oldies,3.86,3.51,3.57,3.65,2.75
pop,3.79,3.41,3.55,3.55,2.77
r&b,3.69,3.54,3.63,3.57,2.71
rap,3.74,3.33,3.69,3.43,2.67
reggae,4,3.43,3.66,3.53,2.67
rock,3.93,3.37,3.48,3.51,2.83
salsa,3.94,3.55,3.8,3.55,2.62
techno,4,3.32,3.51,3.5,2.81
